metric,p05,p25,p50,p75,p95,mean,std
CAGR,0.054258211438610905,0.10887858663915184,0.14965073153786368,0.19232031322635224,0.2530361032473134,0.15158877062850756,0.06129533135180526
MaxDD,-0.4616940389568965,-0.35883777548886475,-0.30290395888992705,-0.25591538997634905,-0.20408056825420315,-0.31391337035795264,0.07966611224317807
AnnVol,0.18024498304092376,0.19144866221082074,0.20219124212409945,0.2143486709482052,0.234121254915255,0.20391592700291888,0.016846130094807035
Sharpe,0.3558762212144399,0.6076458163168407,0.7860011291870334,0.9799479850215042,1.26351405322636,0.7967639222868831,0.2758986395064654
