date,gross_return,turnover,cost,net_return
2015-06-08,0.0006484327045142158,0.0,0.0,0.0006484327045142158
2015-06-09,0.019998789152749403,0.0,0.0,0.019998789152749403
2015-06-10,0.0006222821859783527,0.0,0.0,0.0006222821859783527
2015-06-11,-0.010157360663223636,0.0,0.0,-0.010157360663223636
2015-06-12,-0.00547807239602445,0.0,0.0,-0.00547807239602445
2015-06-15,0.006479474083732572,0.0,0.0,0.006479474083732572
2015-06-16,0.0031154509109295177,0.0,0.0,0.0031154509109295177
2015-06-17,0.010952039908681864,0.0,0.0,0.010952039908681864
2015-06-18,-0.009585072606797852,0.0,0.0,-0.009585072606797852
2015-06-19,0.003424955993690004,0.0,0.0,0.003424955993690004
2015-06-22,-0.0005326656576020773,0.0,0.0,-0.0005326656576020773
2015-06-23,-0.007990086033968294,0.0,0.0,-0.007990086033968294
2015-06-24,-0.0023510522945353503,0.0,0.0,-0.0023510522945353503
2015-06-25,-0.007829926836478518,0.0,0.0,-0.007829926836478518
2015-06-26,-0.022194899814318547,0.0,0.0,-0.022194899814318547
2015-06-29,-7.040658496387168e-05,0.0,0.0,-7.040658496387168e-05
2015-06-30,0.009445819595960539,1.6159129735252624,0.0024238694602878937,0.007021950135672646
2015-07-01,-0.0022326317926586016,0.0,0.0,-0.0022326317926586016
2015-07-02,-0.0050652339620404305,0.0,0.0,-0.0050652339620404305
2015-07-06,-0.0015127342220677355,0.0,0.0,-0.0015127342220677355
2015-07-07,-0.019351842977679754,0.0,0.0,-0.019351842977679754
2015-07-08,0.001253539498829075,0.0,0.0,0.001253539498829075
2015-07-09,0.017552820517698714,0.0,0.0,0.017552820517698714
2015-07-10,0.01421208088701668,0.0,0.0,0.01421208088701668
2015-07-13,0.008564825989915682,0.0,0.0,0.008564825989915682
2015-07-14,0.0025377379741435857,0.0,0.0,0.0025377379741435857
2015-07-15,0.005038840177702621,0.0,0.0,0.005038840177702621
2015-07-16,0.0034087866822399694,0.0,0.0,0.0034087866822399694
2015-07-17,0.008746604074757006,0.0,0.0,0.008746604074757006
2015-07-20,-0.003832136810338128,0.0,0.0,-0.003832136810338128
2015-07-21,-0.002916168352716919,0.0,0.0,-0.002916168352716919
2015-07-22,-0.007268796603519373,0.0,0.0,-0.007268796603519373
2015-07-23,0.0026919881889384024,0.0,0.0,0.0026919881889384024
2015-07-24,-0.01340535238275402,0.0,0.0,-0.01340535238275402
2015-07-27,0.006907987111028791,0.0,0.0,0.006907987111028791
2015-07-28,0.006759409922817433,0.0,0.0,0.006759409922817433
2015-07-29,-4.10177621010103e-05,0.0,0.0,-4.10177621010103e-05
2015-07-30,-0.008861554383561256,0.0,0.0,-0.008861554383561256
2015-07-31,-0.0026741544152843926,0.8984268805483251,0.0013476403208224877,-0.004021794736106881
